,team,challenges,score,eligible
305,syn_e3e,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['196'], 'solve_time': ['2024-11-23T05:04:43.555Z']}",50,InternationalDomestic
306,Piro,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['197'], 'solve_time': ['2024-11-23T05:04:44.491Z']}",50,InternationalDomestic
307,Roland,"{'challenge_name': [], 'challenge_category': [], 'challenge_rank': [], 'solve_time': []}",50,InternationalDomestic
308,STC,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['199'], 'solve_time': ['2024-11-23T05:04:54.659Z']}",50,InternationalDomestic
309,naminami_eng,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['201'], 'solve_time': ['2024-11-23T05:05:04.366Z']}",50,InternationalDomestic
310,Tropical Fisher,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['203'], 'solve_time': ['2024-11-23T05:05:13.549Z']}",50,InternationalDomestic
311,tanadai,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['204'], 'solve_time': ['2024-11-23T05:05:22.763Z']}",50,InternationalDomestic
312,nonstop,"{'challenge_name': [], 'challenge_category': [], 'challenge_rank': [], 'solve_time': []}",50,InternationalDomestic
313,Kimchi,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['207'], 'solve_time': ['2024-11-23T05:05:41.885Z']}",50,International
314,TARUTARUSAUCE,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['208'], 'solve_time': ['2024-11-23T05:05:46.516Z']}",50,InternationalDomestic
315,MMA,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['209'], 'solve_time': ['2024-11-23T05:05:53.408Z']}",50,InternationalDomestic
316,kgrzk2024,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['212'], 'solve_time': ['2024-11-23T05:06:04.945Z']}",50,InternationalDomestic
317,Team-A2,"{'challenge_name': [], 'challenge_category': [], 'challenge_rank': [], 'solve_time': []}",50,International
318,4r0wana,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['215'], 'solve_time': ['2024-11-23T05:06:08.064Z']}",50,InternationalDomestic
319,noranekos,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['217'], 'solve_time': ['2024-11-23T05:06:41.046Z']}",50,InternationalDomestic
320,REAPER,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['218'], 'solve_time': ['2024-11-23T05:06:45.684Z']}",50,International
321,PSYBERTR0NS,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['220'], 'solve_time': ['2024-11-23T05:07:12.064Z']}",50,International
322,bin_of_minato,"{'challenge_name': [], 'challenge_category': [], 'challenge_rank': [], 'solve_time': []}",50,InternationalDomestic
323,Do Daily Dentifrice,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['223'], 'solve_time': ['2024-11-23T05:07:40.737Z']}",50,InternationalDomestic
324,indus,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['224'], 'solve_time': ['2024-11-23T05:07:51.97Z']}",50,International
325,Cyber Lion ,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['225'], 'solve_time': ['2024-11-23T05:08:01.15Z']}",50,International
326,KillerPenguins,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['226'], 'solve_time': ['2024-11-23T05:08:04.202Z']}",50,International
327,katehinozukrikato,"{'challenge_name': [], 'challenge_category': [], 'challenge_rank': [], 'solve_time': []}",50,International
328,N0_SIGNAL,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['229'], 'solve_time': ['2024-11-23T05:08:23.077Z']}",50,International
329,UnionHead,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['230'], 'solve_time': ['2024-11-23T05:08:27.978Z']}",50,InternationalDomestic
330,BANQOFRUNMES,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['232'], 'solve_time': ['2024-11-23T05:09:05.372Z']}",50,InternationalDomestic
331,Spicy Kids,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['233'], 'solve_time': ['2024-11-23T05:09:31.244Z']}",50,InternationalDomestic
332,OSAM_z3r0day,"{'challenge_name': [], 'challenge_category': [], 'challenge_rank': [], 'solve_time': []}",50,International
333,Team 732D63756C61,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['235'], 'solve_time': ['2024-11-23T05:09:41.364Z']}",50,InternationalDomestic
334,teamID,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['236'], 'solve_time': ['2024-11-23T05:10:01.255Z']}",50,InternationalDomestic
335,horihc,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['237'], 'solve_time': ['2024-11-23T05:10:33.688Z']}",50,InternationalDomestic
336,"Turn of the ""Lost Decryption""","{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['239'], 'solve_time': ['2024-11-23T05:10:59.673Z']}",50,InternationalDomestic
337,Asteroid Destroyer,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['241'], 'solve_time': ['2024-11-23T05:12:01.039Z']}",50,International
338,f4n_n3r0,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['242'], 'solve_time': ['2024-11-23T05:12:48.365Z']}",50,International
339,Umatoma,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['244'], 'solve_time': ['2024-11-23T05:13:10.095Z']}",50,InternationalDomestic
340,seccat,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['245'], 'solve_time': ['2024-11-23T05:13:24.903Z']}",50,InternationalDomestic
341,Caffein,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['246'], 'solve_time': ['2024-11-23T05:13:31.006Z']}",50,InternationalDomestic
342,mukimuki-club,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['247'], 'solve_time': ['2024-11-23T05:13:46.742Z']}",50,InternationalDomestic
343,lavender,"{'challenge_name': [], 'challenge_category': [], 'challenge_rank': [], 'solve_time': []}",50,InternationalDomestic
344,hack_Uindy,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['250'], 'solve_time': ['2024-11-23T05:15:29.824Z']}",50,InternationalDomestic
345,abc123,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['251'], 'solve_time': ['2024-11-23T05:17:08.125Z']}",50,InternationalDomestic
346,N2L,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['252'], 'solve_time': ['2024-11-23T05:17:13.028Z']}",50,International
347,f_team,"{'challenge_name': [], 'challenge_category': [], 'challenge_rank': [], 'solve_time': []}",50,InternationalDomestic
348,fruit de la grisaia,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['254'], 'solve_time': ['2024-11-23T05:18:05.003Z']}",50,InternationalDomestic
349,hat0uma,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['255'], 'solve_time': ['2024-11-23T05:18:06.073Z']}",50,InternationalDomestic
350,chips4hoy,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['256'], 'solve_time': ['2024-11-23T05:18:12.465Z']}",50,InternationalDomestic
351,rK01M,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['259'], 'solve_time': ['2024-11-23T05:20:19.637Z']}",50,InternationalDomestic
352,Hack@Sec,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['260'], 'solve_time': ['2024-11-23T05:22:04.376Z']}",50,International
353,Team mint,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['261'], 'solve_time': ['2024-11-23T05:22:15.825Z']}",50,InternationalDomestic
354,skibiDiDiOS,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['262'], 'solve_time': ['2024-11-23T05:23:44.126Z']}",50,International
355,seahawk,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['266'], 'solve_time': ['2024-11-23T05:25:14.192Z']}",50,InternationalDomestic
356,SGhighschool,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['268'], 'solve_time': ['2024-11-23T05:25:43.79Z']}",50,InternationalDomestic
357,"Alliance of the ""pppoxy""","{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['269'], 'solve_time': ['2024-11-23T05:26:27.547Z']}",50,InternationalDomestic
358,patriot,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['270'], 'solve_time': ['2024-11-23T05:27:13.11Z']}",50,InternationalDomestic
359,cocoa659,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['271'], 'solve_time': ['2024-11-23T05:27:42.226Z']}",50,InternationalDomestic
360,yoicha,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['272'], 'solve_time': ['2024-11-23T05:28:27.736Z']}",50,InternationalDomestic
361,Sea~,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['273'], 'solve_time': ['2024-11-23T05:29:44.783Z']}",50,International
362,Kurumix,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['276'], 'solve_time': ['2024-11-23T05:30:16.749Z']}",50,International
363,Tux_sec,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['277'], 'solve_time': ['2024-11-23T05:30:23.314Z']}",50,InternationalDomestic
364,SSMT,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['278'], 'solve_time': ['2024-11-23T05:31:47.888Z']}",50,InternationalDomestic
365,wgpsec,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['280'], 'solve_time': ['2024-11-23T05:32:02.106Z']}",50,International
366,theone,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['281'], 'solve_time': ['2024-11-23T05:34:08.548Z']}",50,InternationalDomestic
367,buri24,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['282'], 'solve_time': ['2024-11-23T05:34:45.369Z']}",50,InternationalDomestic
368,balosec,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['283'], 'solve_time': ['2024-11-23T05:35:29.871Z']}",50,InternationalDomestic
369,imo,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['285'], 'solve_time': ['2024-11-23T05:37:27.078Z']}",50,InternationalDomestic
370,H4x0r_Hunters,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['286'], 'solve_time': ['2024-11-23T05:37:42.904Z']}",50,International
371,Catnip-Security,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['289'], 'solve_time': ['2024-11-23T05:43:21.931Z']}",50,International
372,HitoriOyaji,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['290'], 'solve_time': ['2024-11-23T05:44:00.7Z']}",50,InternationalDomestic
373,zomzom,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['291'], 'solve_time': ['2024-11-23T05:44:35.158Z']}",50,InternationalDomestic
374,VSL,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['293'], 'solve_time': ['2024-11-23T05:48:42.837Z']}",50,International
375,OggyAndTheExploiters,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['296'], 'solve_time': ['2024-11-23T05:50:47.277Z']}",50,International
376,proxima,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['297'], 'solve_time': ['2024-11-23T05:50:50.488Z']}",50,InternationalDomestic
377,Cla55N0tF0und,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['298'], 'solve_time': ['2024-11-23T05:50:50.97Z']}",50,InternationalDomestic
378,Rizalm69,"{'challenge_name': [], 'challenge_category': [], 'challenge_rank': [], 'solve_time': []}",50,International
379,fazer,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['300'], 'solve_time': ['2024-11-23T05:52:05.785Z']}",50,InternationalDomestic
380,elk,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['301'], 'solve_time': ['2024-11-23T05:52:54.649Z']}",50,InternationalDomestic
381,kored,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['302'], 'solve_time': ['2024-11-23T05:55:32.873Z']}",50,International
382,labu,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['303'], 'solve_time': ['2024-11-23T05:56:02.276Z']}",50,InternationalDomestic
383,A-beginner,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['304'], 'solve_time': ['2024-11-23T05:57:19.849Z']}",50,InternationalDomestic
384,solo_levelling,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['308'], 'solve_time': ['2024-11-23T06:03:20.987Z']}",50,International
385,killswitch,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['309'], 'solve_time': ['2024-11-23T06:03:44.497Z']}",50,InternationalDomestic
386,Attack On Hash Function,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['310'], 'solve_time': ['2024-11-23T06:03:57.623Z']}",50,International
387,SOS,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['311'], 'solve_time': ['2024-11-23T06:05:34.433Z']}",50,InternationalDomestic
388,jess fan club,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['312'], 'solve_time': ['2024-11-23T06:06:01.548Z']}",50,International
389,Octagram,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['313'], 'solve_time': ['2024-11-23T06:08:06.776Z']}",50,International
390,J-Kura(*-*),"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['315'], 'solve_time': ['2024-11-23T06:09:22.899Z']}",50,InternationalDomestic
391,newnsad,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['316'], 'solve_time': ['2024-11-23T06:09:59.946Z']}",50,International
392,Duffy,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['317'], 'solve_time': ['2024-11-23T06:10:07.424Z']}",50,InternationalDomestic
393,HLBT,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['318'], 'solve_time': ['2024-11-23T06:11:55.584Z']}",50,International
394,NEGAVE,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['319'], 'solve_time': ['2024-11-23T06:12:35.368Z']}",50,International
395,PWNDEMONIUM.,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['320'], 'solve_time': ['2024-11-23T06:13:07.911Z']}",50,International
396,nononono,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['322'], 'solve_time': ['2024-11-23T06:14:28.007Z']}",50,International
397,kk,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['323'], 'solve_time': ['2024-11-23T06:14:38.669Z']}",50,InternationalDomestic
398,FlagHoarders,"{'challenge_name': [], 'challenge_category': [], 'challenge_rank': [], 'solve_time': []}",50,International
399,"Twilight of the ""fileserver""","{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['327'], 'solve_time': ['2024-11-23T06:17:46.474Z']}",50,InternationalDomestic
400,narrec,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['329'], 'solve_time': ['2024-11-23T06:19:39.482Z']}",50,InternationalDomestic
401,Blazing Fire,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['330'], 'solve_time': ['2024-11-23T06:21:19.198Z']}",50,International
402,2222222222222222222222,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['331'], 'solve_time': ['2024-11-23T06:21:19.837Z']}",50,International
403,ichipiro_explorer,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['332'], 'solve_time': ['2024-11-23T06:22:02.927Z']}",50,InternationalDomestic
404,localhost,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['333'], 'solve_time': ['2024-11-23T06:24:09.961Z']}",50,International
405,FirstTimeRight,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['334'], 'solve_time': ['2024-11-23T06:24:28.707Z']}",50,International
406,coco,"{'challenge_name': [], 'challenge_category': [], 'challenge_rank': [], 'solve_time': []}",50,International
407,SHA-272,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['336'], 'solve_time': ['2024-11-23T06:24:55.591Z']}",50,International
408,Astrom,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['338'], 'solve_time': ['2024-11-23T06:27:39.717Z']}",50,International
409,h0g3,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['339'], 'solve_time': ['2024-11-23T06:29:22.798Z']}",50,InternationalDomestic
410,Schrodinger Bears,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['340'], 'solve_time': ['2024-11-23T06:31:33.082Z']}",50,International
411,Noobies,"{'challenge_name': [], 'challenge_category': [], 'challenge_rank': [], 'solve_time': []}",50,International
412,Cultivate,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['342'], 'solve_time': ['2024-11-23T06:35:17.865Z']}",50,InternationalDomestic
413,milworms,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['343'], 'solve_time': ['2024-11-23T06:35:37.243Z']}",50,International
414,Rock and roll,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['344'], 'solve_time': ['2024-11-23T06:37:45.255Z']}",50,International
415,TeamM,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['345'], 'solve_time': ['2024-11-23T06:44:02.255Z']}",50,InternationalDomestic
416,DIONLABS x MISIS,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['347'], 'solve_time': ['2024-11-23T06:44:23.506Z']}",50,International
417,A&C,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['348'], 'solve_time': ['2024-11-23T06:45:14.316Z']}",50,International
418,"Banquet of the ""painter""","{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['351'], 'solve_time': ['2024-11-23T06:48:05.198Z']}",50,International
419,MesaseIchimoN,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['352'], 'solve_time': ['2024-11-23T06:52:35.122Z']}",50,InternationalDomestic
420,jeff,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['353'], 'solve_time': ['2024-11-23T06:53:04.415Z']}",50,International
421,Dedsec,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['354'], 'solve_time': ['2024-11-23T06:54:47.67Z']}",50,International
422,Ekho,"{'challenge_name': [], 'challenge_category': [], 'challenge_rank': [], 'solve_time': []}",50,International
423,ttt000,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['356'], 'solve_time': ['2024-11-23T06:56:49.027Z']}",50,InternationalDomestic
424,bin/bash,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['357'], 'solve_time': ['2024-11-23T06:58:01.395Z']}",50,International
425,Ash,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['359'], 'solve_time': ['2024-11-23T06:59:28.697Z']}",50,InternationalDomestic
426,IIIIIIII,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['360'], 'solve_time': ['2024-11-23T07:00:42.265Z']}",50,International
427,kamatama,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['361'], 'solve_time': ['2024-11-23T07:01:53.562Z']}",50,InternationalDomestic
428,Forg1ven,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['362'], 'solve_time': ['2024-11-23T07:05:39.181Z']}",50,International
429,akatsuki,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['364'], 'solve_time': ['2024-11-23T07:07:11.659Z']}",50,InternationalDomestic
430,HiyokoClub,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['365'], 'solve_time': ['2024-11-23T07:09:20.39Z']}",50,InternationalDomestic
431,ABOBIL Team,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['366'], 'solve_time': ['2024-11-23T07:11:26.797Z']}",50,International
432,Yamagi.com,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['368'], 'solve_time': ['2024-11-23T07:18:42.583Z']}",50,International
433,Yazhi,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['370'], 'solve_time': ['2024-11-23T07:21:23.896Z']}",50,International
434,excelr8,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['371'], 'solve_time': ['2024-11-23T07:21:34.607Z']}",50,International
435,Cyb3rGhost,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['372'], 'solve_time': ['2024-11-23T07:25:00.943Z']}",50,International
436,sato888888888,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['373'], 'solve_time': ['2024-11-23T07:25:41.311Z']}",50,InternationalDomestic
437,miruteam,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['375'], 'solve_time': ['2024-11-23T07:28:47.506Z']}",50,InternationalDomestic
438,no_solve,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['376'], 'solve_time': ['2024-11-23T07:30:06.381Z']}",50,International
439,NJ1T_H1ghland3r5,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['377'], 'solve_time': ['2024-11-23T07:41:07.343Z']}",50,International
440,Xfinite_,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['378'], 'solve_time': ['2024-11-23T07:41:25.722Z']}",50,International
441,poki,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['379'], 'solve_time': ['2024-11-23T07:43:37.768Z']}",50,International
442,VGU_Cypher,"{'challenge_name': [], 'challenge_category': [], 'challenge_rank': [], 'solve_time': []}",50,International
443,m1nt4l1ty,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['382'], 'solve_time': ['2024-11-23T07:46:58.314Z']}",50,International
444,c0d3_r3d,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['384'], 'solve_time': ['2024-11-23T07:55:15.396Z']}",50,International
445,TFFF,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['386'], 'solve_time': ['2024-11-23T08:07:37.959Z']}",50,InternationalDomestic
446,SummerCamellia,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['390'], 'solve_time': ['2024-11-23T08:18:39.076Z']}",50,InternationalDomestic
447,SB1124,"{'challenge_name': [], 'challenge_category': [], 'challenge_rank': [], 'solve_time': []}",50,InternationalDomestic
448,zero,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['392'], 'solve_time': ['2024-11-23T08:23:21.15Z']}",50,International
449,kilkat,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['393'], 'solve_time': ['2024-11-23T08:23:35.298Z']}",50,International
450,H4CK_077,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['395'], 'solve_time': ['2024-11-23T08:29:39.027Z']}",50,International
451,vastzero,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['397'], 'solve_time': ['2024-11-23T08:36:40.232Z']}",50,International
452,Hage,"{'challenge_name': [], 'challenge_category': [], 'challenge_rank': [], 'solve_time': []}",50,InternationalDomestic
453,BlueCyber,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['399'], 'solve_time': ['2024-11-23T08:38:01.086Z']}",50,International
454,DebugUs,"{'challenge_name': [], 'challenge_category': [], 'challenge_rank': [], 'solve_time': []}",50,International
455,Tohu,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['401'], 'solve_time': ['2024-11-23T08:39:04.645Z']}",50,InternationalDomestic
456,WhiteOps - AUI,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['402'], 'solve_time': ['2024-11-23T08:39:07.392Z']}",50,International
457,MENGXINLIN,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['403'], 'solve_time': ['2024-11-23T08:41:34.813Z']}",50,International
458,naup96321,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['404'], 'solve_time': ['2024-11-23T08:46:33.27Z']}",50,International
459,sr!k8,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['405'], 'solve_time': ['2024-11-23T08:49:13.234Z']}",50,InternationalDomestic
460,R6_TCyber,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['406'], 'solve_time': ['2024-11-23T08:50:34.473Z']}",50,InternationalDomestic
461,Terzi,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['408'], 'solve_time': ['2024-11-23T08:56:13.333Z']}",50,International
462,FTTT,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['411'], 'solve_time': ['2024-11-23T09:08:02.643Z']}",50,InternationalDomestic
463,1m0d4n5,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['412'], 'solve_time': ['2024-11-23T09:09:04.213Z']}",50,InternationalDomestic
464,kazunoko,"{'challenge_name': ['Welcome'], 'challenge_category': ['welcome'], 'challenge_rank': ['413'], 'solve_time': ['2024-11-23T09:12:40.982Z']}",50,InternationalDomestic
