Position,name,points,challenge
145,PuzzledCoder,200,"{'challenge_name': ['Mini X', 'My Vault'], 'challenge_category': ['OSINT', 'Crypto'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-27 18:24', '2024-12-27 18:47']}"
146,Null,200,"{'challenge_name': ['My Vault', 'Mini X'], 'challenge_category': ['Crypto', 'OSINT'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-27 18:18', '2024-12-27 19:15']}"
147,tchen,200,"{'challenge_name': ['Manifesto', 'My Vault'], 'challenge_category': ['Web', 'Crypto'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-27 18:38', '2024-12-27 19:19']}"
148,bl4ck0u7,200,"{'challenge_name': ['Mini X', 'My Vault'], 'challenge_category': ['OSINT', 'Crypto'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-27 17:54', '2024-12-27 19:25']}"
149,NuttyShell,200,"{'challenge_name': ['Mini X', 'My Vault'], 'challenge_category': ['OSINT', 'Crypto'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-27 18:19', '2024-12-27 19:35']}"
150,ErrorsSum0neRs,200,"{'challenge_name': ['Mini X', 'My Vault'], 'challenge_category': ['OSINT', 'Crypto'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-27 18:03', '2024-12-27 20:00']}"
151,Team Flag,200,"{'challenge_name': ['Manifesto', 'My Vault'], 'challenge_category': ['Web', 'Crypto'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-27 19:10', '2024-12-27 20:10']}"
152,MariosK,200,"{'challenge_name': ['My Vault', 'Manifesto'], 'challenge_category': ['Crypto', 'Web'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-27 17:54', '2024-12-27 20:14']}"
153,R00tC0mmand0s,200,"{'challenge_name': ['Mini X', 'My Vault'], 'challenge_category': ['OSINT', 'Crypto'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-27 20:02', '2024-12-27 20:27']}"
154,MutazBabies,200,"{'challenge_name': ['Mini X', 'My Vault'], 'challenge_category': ['OSINT', 'Crypto'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-27 20:13', '2024-12-27 20:34']}"
155,ShadowAscend,200,"{'challenge_name': ['My Vault', 'Mini X'], 'challenge_category': ['Crypto', 'OSINT'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-27 18:56', '2024-12-27 20:46']}"
156,new jj,200,"{'challenge_name': ['My Vault', 'Mini X'], 'challenge_category': ['Crypto', 'OSINT'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-27 18:48', '2024-12-27 21:41']}"
157,CyberUnicorn,200,"{'challenge_name': ['Manifesto', 'My Vault'], 'challenge_category': ['Web', 'Crypto'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-27 21:18', '2024-12-27 21:45']}"
158,boo,200,"{'challenge_name': ['My Vault', 'Manifesto'], 'challenge_category': ['Crypto', 'Web'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-27 20:38', '2024-12-27 21:58']}"
159,hok4lc,200,"{'challenge_name': ['My Vault', 'Chessato'], 'challenge_category': ['Crypto', 'Reverse'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-27 18:31', '2024-12-27 22:25']}"
160,TheGrue,200,"{'challenge_name': ['My Vault', 'Mini X'], 'challenge_category': ['Crypto', 'OSINT'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-27 18:20', '2024-12-27 23:10']}"
161,Ireland Without the RE,200,"{'challenge_name': ['Manifesto', 'My Vault'], 'challenge_category': ['Web', 'Crypto'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-27 22:21', '2024-12-27 23:21']}"
162,Arin_Agrawal,200,"{'challenge_name': ['Manifesto', 'My Vault'], 'challenge_category': ['Web', 'Crypto'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-27 22:19', '2024-12-27 23:24']}"
163,RPISEC,200,"{'challenge_name': ['Chessato', 'My Vault'], 'challenge_category': ['Reverse', 'Crypto'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-27 21:47', '2024-12-27 23:57']}"
164,EdRo,200,"{'challenge_name': ['Manifesto', 'My Vault'], 'challenge_category': ['Web', 'Crypto'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-27 20:01', '2024-12-27 23:59']}"
165,mu5k3733r5,200,"{'challenge_name': ['My Vault', 'Manifesto'], 'challenge_category': ['Crypto', 'Web'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-27 20:15', '2024-12-28 00:21']}"
166,test,200,"{'challenge_name': ['Chessato', 'My Vault'], 'challenge_category': ['Reverse', 'Crypto'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-27 22:06', '2024-12-28 00:23']}"
167,JordanSec,200,"{'challenge_name': ['My Vault', '18 Karat Gold'], 'challenge_category': ['Crypto', 'Crypto'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-28 01:00', '2024-12-28 01:36']}"
168,Sharks,200,"{'challenge_name': ['My Vault', 'Mini X'], 'challenge_category': ['Crypto', 'OSINT'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-27 19:42', '2024-12-28 01:50']}"
169,clock_break3rs,200,"{'challenge_name': ['My Vault', 'Manifesto'], 'challenge_category': ['Crypto', 'Web'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-27 20:35', '2024-12-28 02:13']}"
170,0xForbidden,200,"{'challenge_name': ['Mini X', 'My Vault'], 'challenge_category': ['OSINT', 'Crypto'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-27 19:36', '2024-12-28 03:44']}"
171,ggMate,200,"{'challenge_name': ['My Vault', '18 Karat Gold'], 'challenge_category': ['Crypto', 'Crypto'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-27 20:08', '2024-12-28 04:02']}"
172,ROECYB,200,"{'challenge_name': ['My Vault', 'Mini X'], 'challenge_category': ['Crypto', 'OSINT'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-27 22:32', '2024-12-28 04:32']}"
173,H3LP,200,"{'challenge_name': ['Mini X', 'My Vault'], 'challenge_category': ['OSINT', 'Crypto'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-28 03:56', '2024-12-28 05:31']}"
174,M1tM,200,"{'challenge_name': ['My Vault', 'Mini X'], 'challenge_category': ['Crypto', 'OSINT'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-27 20:25', '2024-12-28 07:27']}"
175,Suncatcher,200,"{'challenge_name': ['Mini X', 'My Vault'], 'challenge_category': ['OSINT', 'Crypto'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-28 03:06', '2024-12-28 07:32']}"
176,hitori1403 and his friends,200,"{'challenge_name': ['My Vault', '18 Karat Gold'], 'challenge_category': ['Crypto', 'Crypto'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-28 08:05', '2024-12-28 08:21']}"
177,happy bear,200,"{'challenge_name': ['My Vault', 'Manifesto'], 'challenge_category': ['Crypto', 'Web'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-28 07:46', '2024-12-28 09:18']}"
178,Pr0t3ct0rs,200,"{'challenge_name': ['My Vault', '18 Karat Gold'], 'challenge_category': ['Crypto', 'Crypto'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-27 17:54', '2024-12-28 09:54']}"
179,Pookie Bears,200,"{'challenge_name': ['My Vault', 'Mini X'], 'challenge_category': ['Crypto', 'OSINT'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-27 22:54', '2024-12-28 11:18']}"
180,delta v,200,"{'challenge_name': ['My Vault', '18 Karat Gold'], 'challenge_category': ['Crypto', 'Crypto'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-27 18:37', '2024-12-28 11:31']}"
181,CH4S1NG_TH4T_FE3L1NG,200,"{'challenge_name': ['My Vault', 'Mini X'], 'challenge_category': ['Crypto', 'OSINT'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-27 18:29', '2024-12-28 11:47']}"
182,DEFCON1,200,"{'challenge_name': ['My Vault', 'Mini X'], 'challenge_category': ['Crypto', 'OSINT'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-27 19:17', '2024-12-28 11:54']}"
183,FPTU Ethical Hackers Club,200,"{'challenge_name': ['My Vault', 'Mini X'], 'challenge_category': ['Crypto', 'OSINT'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-27 21:21', '2024-12-28 13:14']}"
184,bps_team,200,"{'challenge_name': ['Manifesto', 'My Vault'], 'challenge_category': ['Web', 'Crypto'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-28 04:40', '2024-12-28 14:57']}"
185,freep0nx,200,"{'challenge_name': ['Mini X', 'My Vault'], 'challenge_category': ['OSINT', 'Crypto'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-27 21:47', '2024-12-28 16:40']}"
186,NYUSEC,200,"{'challenge_name': ['My Vault', 'Chessato'], 'challenge_category': ['Crypto', 'Reverse'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-28 13:30', '2024-12-28 17:09']}"
187,Blind_Virus,200,"{'challenge_name': ['My Vault', 'Mini X'], 'challenge_category': ['Crypto', 'OSINT'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-27 18:19', '2024-12-28 19:56']}"
188,SandWiki,200,"{'challenge_name': ['My Vault', 'Manifesto'], 'challenge_category': ['Crypto', 'Web'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-27 19:47', '2024-12-28 19:58']}"
189,Dp1H3R0x,200,"{'challenge_name': ['Maroon', 'Mini X'], 'challenge_category': ['OSINT', 'OSINT'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-28 02:52', '2024-12-28 20:05']}"
190,Return,200,"{'challenge_name': ['Manifesto', 'Mini X'], 'challenge_category': ['Web', 'OSINT'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-28 20:14', '2024-12-28 20:18']}"
191,imagine_losing,200,"{'challenge_name': ['My Vault', 'Manifesto'], 'challenge_category': ['Crypto', 'Web'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-28 06:41', '2024-12-28 20:33']}"
192,404brainNotFound,200,"{'challenge_name': ['Mini X', 'Maroon'], 'challenge_category': ['OSINT', 'OSINT'], 'challenge_points': ['100', '100'], 'solve_time': ['2024-12-27 20:51', '2024-12-28 23:54']}"
