Place,Name,Points,Challenges
226,r00t,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T09:49:00.944Z']}"
227,team_a3s,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T09:53:57.659Z']}"
228,Sakana,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T09:57:06.793Z']}"
229,Cypher.Nitro,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T10:01:59.364Z']}"
230,Kukko,ja,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T10:09:16.966Z']}"
231,x0f3t,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T10:32:03.879Z']}"
232,kanbedon,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T10:43:34.427Z']}"
233,MOSA,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T10:50:55.347Z']}"
234,Attack,On,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T11:00:34.809Z']}"
235,M1tM,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T11:24:59.926Z']}"
236,FirstNightingale,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T11:25:02.726Z']}"
237,ben10,100,"{'challenge_name': ['Toolong Tea'], 'challenge_category': ['web'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T11:30:56.633Z']}"
238,Waldbaur,100,"{'challenge_name': ['Toolong Tea'], 'challenge_category': ['web'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T11:39:21.272Z']}"
239,hisui,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T11:40:25.520Z']}"
240,logdav,100,"{'challenge_name': ['Toolong Tea'], 'challenge_category': ['web'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T11:40:38.317Z']}"
241,strn,solo,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T11:45:20.366Z']}"
242,Maverick,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T11:51:06.339Z']}"
243,Cla55N0tF0und,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T11:51:42.570Z']}"
244,cat,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T12:09:13.729Z']}"
245,Akuma,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T12:22:42.717Z']}"
246,okcomputer,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T12:43:17.762Z']}"
247,aria,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T12:43:52.228Z']}"
248,AL0N3,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T12:51:44.448Z']}"
249,ThomasGKorp,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T12:54:48.863Z']}"
250,Simp1e,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T13:03:19.781Z']}"
251,piyopiyochan,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T13:22:09.516Z']}"
252,c1ph3r,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T13:32:55.519Z']}"
253,Sinister,Script,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T13:48:22.434Z']}"
254,die_trying,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T13:49:17.621Z']}"
255,TCTN,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T13:53:27.490Z']}"
256,-------------------------------------,100,"{'challenge_name': ['Toolong Tea'], 'challenge_category': ['web'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T14:02:39.101Z']}"
257,ZeroMarea,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T14:03:05.684Z']}"
258,Nan+1,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T14:26:33.819Z']}"
259,@mdr,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T14:28:08.955Z']}"
260,SoloBox,100,"{'challenge_name': ['Toolong Tea'], 'challenge_category': ['web'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T14:29:06.637Z']}"
261,peppekepee,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T14:49:39.288Z']}"
262,hehehe,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T14:49:43.423Z']}"
263,Accelerator,100,"{'challenge_name': ['Toolong Tea'], 'challenge_category': ['web'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T15:05:03.248Z']}"
264,tk007,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T15:14:48.043Z']}"
265,shiyu,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T15:44:40.920Z']}"
266,FAMILY,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T15:51:10.032Z']}"
267,moririn2528,100,"{'challenge_name': ['Toolong Tea'], 'challenge_category': ['web'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T16:16:28.386Z']}"
268,M0r1artY,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T16:16:48.632Z']}"
269,FirewallGhosts,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T16:35:50.133Z']}"
270,hengker,gacor,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T16:37:36.871Z']}"
271,just,for,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T16:39:49.430Z']}"
272,nvkiero,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T16:51:11.791Z']}"
273,ghosts,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T17:27:59.683Z']}"
274,Assassin's,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T17:33:51.187Z']}"
275,jeditrix,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T17:38:19.758Z']}"
276,echo,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T18:07:50.753Z']}"
277,Iderei,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T18:15:36.531Z']}"
278,aaa,100,"{'challenge_name': ['Toolong Tea'], 'challenge_category': ['web'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T18:24:18.316Z']}"
279,otaku,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T18:34:42.715Z']}"
280,EvilBunnyWrote,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T18:37:11.237Z']}"
281,F_Society,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T18:45:58.257Z']}"
282,twiss,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T18:54:35.406Z']}"
283,Leafsail,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T18:59:29.669Z']}"
284,Winter,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T19:04:57.893Z']}"
285,solup,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T19:16:04.663Z']}"
286,DVA,100,"{'challenge_name': ['Toolong Tea'], 'challenge_category': ['web'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T19:55:00.171Z']}"
287,freep0nx,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T20:11:21.897Z']}"
288,shio,100,"{'challenge_name': ['Toolong Tea'], 'challenge_category': ['web'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T20:31:47.367Z']}"
289,Visitor,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T21:33:06.635Z']}"
290,O2,100,"{'challenge_name': ['Toolong Tea'], 'challenge_category': ['web'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T22:13:35.328Z']}"
291,t4ma_121006,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T22:14:00.421Z']}"
292,NotHotdog,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-14T23:27:06.628Z']}"
293,Hackafon,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-15T00:14:20.822Z']}"
294,yuudee,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-15T01:33:36.985Z']}"
295,stickygreen,100,"{'challenge_name': ['Toolong Tea'], 'challenge_category': ['web'], 'challenge_points': ['100'], 'solve_time': ['2024-12-15T02:30:06.776Z']}"
296,nna,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-15T02:30:28.677Z']}"
297,Aduh,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-15T03:28:15.577Z']}"
298,Team,Spiryt,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-15T03:28:34.241Z']}"
299,Assad,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-15T04:10:58.455Z']}"
300,ikd,100,"{'challenge_name': ['Toolong Tea'], 'challenge_category': ['web'], 'challenge_points': ['100'], 'solve_time': ['2024-12-15T05:20:09.818Z']}"
301,jimenavillanueva,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-15T06:19:05.683Z']}"
302,drl,100,"{'challenge_name': ['Sanity Check'], 'challenge_category': ['Warmup'], 'challenge_points': ['100'], 'solve_time': ['2024-12-15T06:25:04.308Z']}"
303,Te@m_E@gle,1,"{'challenge_name': ['Survey'], 'challenge_category': ['cooldown'], 'challenge_points': ['1'], 'solve_time': ['2024-12-14T17:51:34.415Z']}"
304,Nupymaru11,1,"{'challenge_name': ['Survey'], 'challenge_category': ['cooldown'], 'challenge_points': ['1'], 'solve_time': ['2024-12-15T00:48:13.102Z']}"
305,Kx-01,1,"{'challenge_name': ['Survey'], 'challenge_category': ['cooldown'], 'challenge_points': ['1'], 'solve_time': ['2024-12-15T05:40:08.364Z']}"
306,Shy,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,StealthX,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,DarkPulse,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,hare,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,nimowen,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,Kheshig,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,commander,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,H9DRA,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,numeron,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,gis,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,PureStream,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,SIGAN,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,K1r4_l4nd,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,taurus,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,pangolin,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,solo,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,Sattar,allah,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,fxxxxxk,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,h4ckm4sse,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,Al-Qahhar,Cyber,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,MountSec,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,TTL,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,TFS,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,noraneco,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,berialsec,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,Ch4kr4vyuh,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,kkbteam,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,ex3x,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,mak47,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,PersianCats,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,JSoyke,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,Sc0lcy,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,Aural,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,clueless,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,hacker2.0indiaofficial@gmail.com,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,ambatuwin,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,Bring,back,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,Nexus-Nektar,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,GanSw,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,ctfshow,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,JoJoBaOil,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,hazaa,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,YCF,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,SNI,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,newbie33,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,VitianCC,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,Skopers,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,猪猪队,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,abdullahK,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,CyberForce,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,Test12,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,bigboay,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,nubcakes,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,nihaoma,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,Bacccha,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,UIT.0r2,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,Esc,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,awd,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,fjwy,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,soala,gogo,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,Dev12190,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,Owl,Hackers,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,haniesobusy,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,go_gym,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,Tecvity,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,N3wb1e_t0_Di5,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,sudi%00,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,J0hnnyDEP,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,hmm123,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,Jd,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,糖人街,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,UnderDog,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,ri5e,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,Dutchman,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,Betsy,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,LEGION,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,Nigga,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,Raptors,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,dioc,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,SmallCatCat,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,Roman_Charm,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,t1,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,BackMoon,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,meow,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,a,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,Lunar_r3d,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,edamamens,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,fgds43,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,0xsec,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,Witch,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,w7w7,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,xhit,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,small,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,justforfun,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,Quantum,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,Saudi,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,CRUSADERS,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,41234,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,jitju,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,Slovak,Cyber,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,gordo,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,NECC,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,nekodora,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,rjYPMTQtnA,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,FlagMotori,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,high,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,ransewhale,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,aueoueaoueoa,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,Vincent,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,1,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,mmm,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,vebeweh517,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,Kava,Bar,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,M4yb3,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,testdeneme,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,asdasdasd,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,/bad,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,pales1gh,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,not,playing,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,fakeaviation,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,keva,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,s0m3,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,mode13h,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,asd,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,aaaa,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,Sanji,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,never,stop,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,*******,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,chipich4p4,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,ウィズ,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,ppppp,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,UExploitNards,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,CtrlShiftWinAltL,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,ath0,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,dqdqwd,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,newname,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
306,dudcom,0,"{'challenge_name': [], 'challenge_category': [], 'challenge_points': [], 'solve_time': []}"
